year,locationabbr,locationdesc,class,topic,question,response,break_out,break_out_category,sample_size,data_value,data_value_unit,data_value_type,datasource,classid,topicid,locationid,breakoutid,breakoutcategoryid,questionid,responseid,display_order,data_value_footnote_symbol,data_value_footnote
2011,US,"All States, DC and Territories (median) **",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,Yes,Overall,Overall,53,57,%,Crude Prevalence,BRFSS,CLASS01,Topic03,99,BO1,CAT1,DRNKANY5,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Alcohol Consumption,Alcohol Consumption,Adults who have had at least one drink of alcohol within the past 30 days,No,Overall,Overall,53,43,%,Crude Prevalence,BRFSS,CLASS01,Topic03,99,BO1,CAT1,DRNKANY5,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",Yes,Overall,Overall,53,18.3,%,Crude Prevalence,BRFSS,CLASS01,Topic07,99,BO1,CAT1,_RFBING5,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Alcohol Consumption,Binge Drinking,"Binge drinkers (males having five or more drinks on one occasion, females having four or more drinks on one occasion) (variable calculated from one or more BRFSS questions)",No,Overall,Overall,53,81.7,%,Crude Prevalence,BRFSS,CLASS01,Topic07,99,BO1,CAT1,_RFBING5,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,6.6,%,Crude Prevalence,BRFSS,CLASS01,Topic30,99,BO1,CAT1,_RFDRHV4,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Alcohol Consumption,Heavy Drinking,Heavy drinkers (adult men having more than two drinks per day and adult women having more than one drink per day) (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,93.4,%,Crude Prevalence,BRFSS,CLASS01,Topic30,99,BO1,CAT1,_RFDRHV4,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Checked in past 5 years,Overall,Overall,53,75.5,%,Crude Prevalence,BRFSS,CLASS02,Topic11,99,BO1,CAT1,_CHOLCHK,RESP072,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Not Checked in past 5 years,Overall,Overall,53,3.6,%,Crude Prevalence,BRFSS,CLASS02,Topic11,99,BO1,CAT1,_CHOLCHK,RESP073,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol Checked,Adults who have had their blood cholesterol checked within the last five years (variable calculated from one or more BRFSS questions),Never Checked,Overall,Overall,53,21.5,%,Crude Prevalence,BRFSS,CLASS02,Topic11,99,BO1,CAT1,_CHOLCHK,RESP074,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,Yes,Overall,Overall,53,78.6,%,Crude Prevalence,BRFSS,CLASS02,Topic11,99,BO1,CAT1,BLOODCHO,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol Checked,Adults who have ever had their blood cholesterol checked,No,Overall,Overall,53,21.4,%,Crude Prevalence,BRFSS,CLASS02,Topic11,99,BO1,CAT1,BLOODCHO,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol High,Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,38.3,%,Crude Prevalence,BRFSS,CLASS02,Topic12,99,BO1,CAT1,_RFCHOL,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Demographics,Employment,What is your employment status?,Unable to work,Overall,Overall,53,6.3,%,Crude Prevalence,BRFSS,CLASS05,Topic22,99,BO1,CAT1,EMPLOY,RESP032,,,
2011,US,"All States, DC and Territories (median) **",Cholesterol Awareness,Cholesterol High,Adults who have had their blood cholesterol checked and have been told it was high (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,61.7,%,Crude Prevalence,BRFSS,CLASS02,Topic12,99,BO1,CAT1,_RFCHOL,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,24.4,%,Crude Prevalence,BRFSS,CLASS03,Topic05,99,BO1,CAT1,_DRDXAR1,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Arthritis,Adults who have been told they have arthritis (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,75.7,%,Crude Prevalence,BRFSS,CLASS03,Topic05,99,BO1,CAT1,_DRDXAR1,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,9.1,%,Crude Prevalence,BRFSS,CLASS03,Topic06,99,BO1,CAT1,_CASTHM1,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Asthma,Adults who have been told they currently have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,90.9,%,Crude Prevalence,BRFSS,CLASS03,Topic06,99,BO1,CAT1,_CASTHM1,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),Yes,Overall,Overall,53,13.6,%,Crude Prevalence,BRFSS,CLASS03,Topic06,99,BO1,CAT1,_LTASTH1,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Asthma,Adults who have ever been told they have asthma (variable calculated from one or more BRFSS questions),No,Overall,Overall,53,86.4,%,Crude Prevalence,BRFSS,CLASS03,Topic06,99,BO1,CAT1,_LTASTH1,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,53,4.1,%,Crude Prevalence,BRFSS,CLASS03,Topic10,99,BO1,CAT1,CVDCRHD4,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,53,95.9,%,Crude Prevalence,BRFSS,CLASS03,Topic10,99,BO1,CAT1,CVDCRHD4,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,Yes,Overall,Overall,53,4.4,%,Crude Prevalence,BRFSS,CLASS03,Topic10,99,BO1,CAT1,CVDINFR4,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a heart attack (myocardial infarction)?,No,Overall,Overall,53,95.6,%,Crude Prevalence,BRFSS,CLASS03,Topic10,99,BO1,CAT1,CVDINFR4,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,Yes,Overall,Overall,53,2.9,%,Crude Prevalence,BRFSS,CLASS03,Topic10,99,BO1,CAT1,CVDSTRK3,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,Cardiovascular Disease,Ever told you had a stroke?,No,Overall,Overall,53,97.1,%,Crude Prevalence,BRFSS,CLASS03,Topic10,99,BO1,CAT1,CVDSTRK3,RESP054,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,COPD,Ever told you have COPD?,Yes,Overall,Overall,53,6.1,%,Crude Prevalence,BRFSS,CLASS03,Topic14,99,BO1,CAT1,CHCCOPD,RESP046,,,
2011,US,"All States, DC and Territories (median) **",Chronic Health Indicators,COPD,Ever told you have COPD?,No,Overall,Overall,53,94,%,Crude Prevalence,BRFSS,CLASS03,Topic14,99,BO1,CAT1,CHCCOPD,RESP054,,,
